=== LOG FILE ANALYSIS ===
Total number of requests: 10000
Number of GET requests: 9952
Number of POST requests: 5
Unique IP addresses: 1753
GET and POST count per IP:
81.210.53.2: Total=6, GET=0, POST=0
200.89.129.197: Total=2, GET=0, POST=0
75.127.15.68: Total=1, GET=0, POST=0
207.45.249.135: Total=5, GET=0, POST=0
98.193.68.66: Total=6, GET=0, POST=0
70.83.251.183: Total=22, GET=0, POST=0
212.159.68.200: Total=6, GET=0, POST=0
74.221.220.196: Total=2, GET=0, POST=0
180.76.6.53: Total=2, GET=0, POST=0
105.235.130.196: Total=6, GET=0, POST=0
89.238.233.38: Total=7, GET=0, POST=0
31.35.64.245: Total=6, GET=0, POST=0
124.197.25.116: Total=1, GET=0, POST=0
180.76.5.39: Total=2, GET=0, POST=0
93.91.233.50: Total=3, GET=0, POST=0
189.148.62.33: Total=1, GET=0, POST=0
81.170.148.153: Total=6, GET=0, POST=0
198.228.201.147: Total=3, GET=0, POST=0
121.209.208.128: Total=6, GET=0, POST=0
162.210.196.130: Total=2, GET=0, POST=0
216.152.249.242: Total=25, GET=0, POST=0
87.175.104.247: Total=1, GET=0, POST=0
177.37.188.215: Total=1, GET=0, POST=0
75.134.169.174: Total=6, GET=0, POST=0
111.199.235.239: Total=37, GET=0, POST=0
157.55.33.17: Total=1, GET=0, POST=0
72.182.137.233: Total=1, GET=0, POST=0
180.76.6.144: Total=2, GET=0, POST=0
46.53.98.24: Total=1, GET=0, POST=0
141.89.226.149: Total=3, GET=0, POST=0
91.144.171.126: Total=1, GET=0, POST=0
91.207.5.54: Total=1, GET=0, POST=0
78.157.154.210: Total=17, GET=0, POST=0
15.219.153.83: Total=3, GET=0, POST=0
79.84.40.134: Total=18, GET=0, POST=0
77.248.77.178: Total=6, GET=0, POST=0
198.143.144.61: Total=1, GET=0, POST=0
180.76.6.48: Total=1, GET=0, POST=0
108.29.33.122: Total=6, GET=0, POST=0
88.210.182.128: Total=6, GET=0, POST=0
194.249.247.164: Total=7, GET=0, POST=0
199.74.99.157: Total=1, GET=0, POST=0
187.16.77.116: Total=1, GET=0, POST=0
202.156.10.11: Total=2, GET=0, POST=0
78.57.150.9: Total=2, GET=0, POST=0
119.224.20.139: Total=1, GET=0, POST=0
36.250.177.94: Total=1, GET=0, POST=0
123.63.97.14: Total=1, GET=0, POST=0
89.238.251.138: Total=6, GET=0, POST=0
77.1.77.21: Total=6, GET=0, POST=0
184.162.26.147: Total=8, GET=0, POST=0
122.56.232.122: Total=1, GET=0, POST=0
88.162.202.146: Total=1, GET=0, POST=0
166.82.99.140: Total=1, GET=0, POST=0
180.76.5.114: Total=1, GET=0, POST=0
50.157.244.41: Total=4, GET=0, POST=0
54.215.118.244: Total=1, GET=0, POST=0
188.165.243.45: Total=3, GET=0, POST=0
124.124.1.57: Total=1, GET=0, POST=0
105.224.234.235: Total=1, GET=0, POST=0
185.4.253.67: Total=20, GET=0, POST=0
203.219.2.2: Total=6, GET=0, POST=0
69.143.198.134: Total=1, GET=0, POST=0
71.212.224.97: Total=5, GET=0, POST=0
46.119.114.245: Total=1, GET=0, POST=0
91.236.75.25: Total=9, GET=0, POST=0
85.43.182.12: Total=9, GET=0, POST=0
195.14.72.29: Total=7, GET=0, POST=0
122.58.125.143: Total=1, GET=0, POST=0
207.241.237.228: Total=16, GET=0, POST=0
186.22.52.72: Total=6, GET=0, POST=0
71.191.158.163: Total=6, GET=0, POST=0
91.114.206.13: Total=7, GET=0, POST=0
101.226.33.222: Total=2, GET=0, POST=0
46.119.121.49: Total=2, GET=0, POST=0
217.174.111.254: Total=5, GET=0, POST=0
121.99.121.185: Total=1, GET=0, POST=0
166.37.114.52: Total=6, GET=0, POST=0
109.74.151.149: Total=8, GET=0, POST=0
176.58.196.36: Total=1, GET=0, POST=0
198.228.201.171: Total=5, GET=0, POST=0
87.169.99.232: Total=1, GET=0, POST=0
5.10.83.73: Total=1, GET=0, POST=0
2.241.35.167: Total=32, GET=0, POST=0
41.248.194.136: Total=1, GET=0, POST=0
180.76.6.153: Total=1, GET=0, POST=0
54.244.142.254: Total=1, GET=0, POST=0
141.0.10.123: Total=1, GET=0, POST=0
69.175.14.228: Total=1, GET=0, POST=0
180.76.5.172: Total=1, GET=0, POST=0
81.154.31.181: Total=5, GET=0, POST=0
23.21.22.111: Total=1, GET=0, POST=0
49.206.120.190: Total=5, GET=0, POST=0
157.55.32.107: Total=1, GET=0, POST=0
88.61.50.114: Total=1, GET=0, POST=0
88.196.179.78: Total=6, GET=0, POST=0
121.189.37.60: Total=5, GET=0, POST=0
46.190.80.53: Total=1, GET=0, POST=0
59.124.251.135: Total=6, GET=0, POST=0
68.183.65.140: Total=6, GET=0, POST=0
173.55.80.151: Total=2, GET=0, POST=0
188.207.200.116: Total=2, GET=0, POST=0
46.120.130.221: Total=1, GET=0, POST=0
50.195.216.83: Total=1, GET=0, POST=0
108.184.124.170: Total=2, GET=0, POST=0
78.26.132.172: Total=2, GET=0, POST=0
188.35.22.24: Total=4, GET=0, POST=0
182.253.38.89: Total=2, GET=0, POST=0
67.244.81.209: Total=7, GET=0, POST=0
96.127.213.6: Total=2, GET=0, POST=0
207.241.237.221: Total=9, GET=0, POST=0
187.214.29.27: Total=1, GET=0, POST=0
24.190.3.5: Total=1, GET=0, POST=0
178.250.45.51: Total=2, GET=0, POST=0
98.227.31.237: Total=6, GET=0, POST=0
109.163.234.2: Total=1, GET=0, POST=0
190.1.111.247: Total=1, GET=0, POST=0
81.198.20.11: Total=14, GET=0, POST=0
27.159.230.187: Total=1, GET=0, POST=0
147.210.12.12: Total=1, GET=0, POST=0
176.10.104.96: Total=2, GET=0, POST=0
62.4.23.48: Total=1, GET=0, POST=0
118.148.175.45: Total=1, GET=0, POST=0
173.232.105.27: Total=2, GET=0, POST=0
119.147.146.189: Total=3, GET=0, POST=0
74.125.176.148: Total=6, GET=0, POST=0
95.78.54.93: Total=3, GET=0, POST=0
92.234.93.242: Total=7, GET=0, POST=0
37.115.190.128: Total=1, GET=0, POST=0
180.76.6.158: Total=1, GET=0, POST=0
180.76.5.193: Total=2, GET=0, POST=0
37.59.47.177: Total=1, GET=0, POST=0
23.105.131.64: Total=1, GET=0, POST=0
84.52.150.17: Total=7, GET=0, POST=0
199.189.248.95: Total=1, GET=0, POST=0
79.116.60.76: Total=1, GET=0, POST=0
79.215.79.185: Total=1, GET=0, POST=0
188.9.138.189: Total=8, GET=0, POST=0
207.241.237.226: Total=11, GET=0, POST=0
195.211.162.22: Total=2, GET=0, POST=0
183.60.214.19: Total=1, GET=0, POST=0
217.195.202.13: Total=23, GET=0, POST=0
139.184.30.132: Total=9, GET=0, POST=0
204.93.54.178: Total=4, GET=0, POST=0
83.42.229.238: Total=18, GET=0, POST=0
78.6.176.46: Total=6, GET=0, POST=0
121.244.49.42: Total=1, GET=0, POST=0
202.68.209.129: Total=6, GET=0, POST=0
180.76.5.143: Total=2, GET=0, POST=0
86.96.42.185: Total=2, GET=0, POST=0
72.174.22.174: Total=6, GET=0, POST=0
220.181.108.149: Total=1, GET=0, POST=0
94.222.112.110: Total=6, GET=0, POST=0
194.237.142.21: Total=1, GET=0, POST=0
150.162.56.185: Total=23, GET=0, POST=0
107.170.41.69: Total=10, GET=0, POST=0
213.181.52.10: Total=6, GET=0, POST=0
91.9.25.91: Total=3, GET=0, POST=0
203.99.206.243: Total=1, GET=0, POST=0
208.43.255.27: Total=7, GET=0, POST=0
76.164.234.106: Total=2, GET=0, POST=0
208.50.255.30: Total=2, GET=0, POST=0
76.115.204.132: Total=6, GET=0, POST=0
90.220.199.149: Total=6, GET=0, POST=0
74.125.176.84: Total=3, GET=0, POST=0
174.26.93.238: Total=6, GET=0, POST=0
78.166.243.242: Total=1, GET=0, POST=0
204.236.153.140: Total=1, GET=0, POST=0
72.76.128.176: Total=7, GET=0, POST=0
1.22.35.226: Total=6, GET=0, POST=0
37.187.101.122: Total=2, GET=0, POST=0
195.44.196.178: Total=6, GET=0, POST=0
180.76.5.17: Total=1, GET=0, POST=0
92.239.20.53: Total=2, GET=0, POST=0
72.177.92.9: Total=1, GET=0, POST=0
199.15.233.140: Total=1, GET=0, POST=0
108.15.20.23: Total=6, GET=0, POST=0
199.119.124.43: Total=2, GET=0, POST=0
98.216.194.189: Total=4, GET=0, POST=0
74.207.228.17: Total=2, GET=0, POST=0
24.233.162.179: Total=1, GET=0, POST=0
184.148.132.111: Total=1, GET=0, POST=0
173.252.110.115: Total=1, GET=0, POST=0
195.176.110.194: Total=1, GET=0, POST=0
194.153.130.2: Total=1, GET=0, POST=0
91.231.179.253: Total=6, GET=0, POST=0
63.249.66.212: Total=2, GET=0, POST=0
203.144.5.101: Total=1, GET=0, POST=0
71.33.204.157: Total=6, GET=0, POST=0
99.188.185.40: Total=1, GET=0, POST=0
76.21.44.161: Total=1, GET=0, POST=0
107.170.40.204: Total=7, GET=0, POST=0
107.170.40.198: Total=4, GET=0, POST=0
62.225.70.202: Total=33, GET=0, POST=0
180.76.5.157: Total=1, GET=0, POST=0
74.125.40.18: Total=1, GET=0, POST=0
188.122.8.79: Total=13, GET=0, POST=0
220.245.217.154: Total=6, GET=0, POST=0
24.84.241.107: Total=10, GET=0, POST=0
223.72.228.186: Total=1, GET=0, POST=0
74.125.176.83: Total=2, GET=0, POST=0
216.16.195.52: Total=2, GET=0, POST=0
177.229.230.254: Total=1, GET=0, POST=0
